api_path	predicted_labels	file_access	network_access	process_mgmt	pure_calculation	code_execution
keras.__version__.startswith	file_access,pure_calculation	0.9859	0.0001	0.0	0.8805	0.0001
keras.export.ExportArchive	file_access	0.9997	0.0	0.0001	0.0117	0.0001
tensorflow.Graph	file_access,network_access	0.6769	0.9997	0.0	0.0025	0.0057
tensorflow.Graph	file_access	1.0	0.0	0.0	0.0042	0.0002
tensorflow.Graph	file_access	0.5274	0.0	0.0	0.289	0.0001
tensorflow.Graph	file_access	1.0	0.0001	0.0001	0.0299	0.0006
tensorflow.Graph	code_execution	0.0	0.0	0.0	0.0002	1.0
tensorflow.Graph	code_execution	0.0	0.0	0.0	0.0002	1.0
tensorflow.Graph	code_execution	0.0	0.0001	0.0	0.0006	1.0
tensorflow.Graph	code_execution	0.0	0.0	0.0	0.0002	1.0
tensorflow.Session	file_access,pure_calculation	0.9999	0.0	0.0	0.9986	0.0
tensorflow.TensorArray	file_access	1.0	0.0	0.0	0.0015	0.0001
tensorflow.TensorArray	file_access	1.0	0.0	0.0	0.0014	0.0001
tensorflow.TensorShape	file_access	0.9998	0.0	0.0	0.0912	0.0001
tensorflow.TensorShape	code_execution	0.0	0.0	0.0	0.054	0.9814
tensorflow.TensorShape	code_execution	0.0	0.0	0.0	0.3357	0.6013
tensorflow.TensorShape	code_execution	0.0	0.0	0.0	0.0265	0.9959
tensorflow.TensorShape	code_execution	0.0	0.0	0.0	0.0087	0.9995
tensorflow.TensorSpec	code_execution	0.0001	0.0001	0.0079	0.004	0.9933
tensorflow.TensorSpec	pure_calculation,code_execution	0.0	0.0	0.0	0.9961	0.5639
tensorflow.TensorSpec	pure_calculation,code_execution	0.0	0.0	0.0	0.9969	0.6494
tensorflow.TensorSpec	pure_calculation,code_execution	0.0	0.0	0.0	0.558	0.5352
tensorflow.TensorSpec	pure_calculation,code_execution	0.0	0.0	0.0	0.5738	0.5105
tensorflow.TensorSpec	code_execution	0.0	0.0	0.0	0.4965	0.5805
tensorflow.TensorSpec	code_execution	0.0	0.0	0.0001	0.4237	0.7774
tensorflow.TensorSpec	code_execution	0.0	0.0	0.0	0.2271	0.8255
tensorflow.TensorSpec	pure_calculation,code_execution	0.0	0.0	0.0	0.9984	0.5651
tensorflow.TensorSpec	code_execution	0.0	0.0	0.0	0.2388	0.8328
tensorflow.TensorSpec.from_tensor	file_access,pure_calculation	0.998	0.0	0.0	0.9571	0.0001
tensorflow.TensorSpec.from_tensor	file_access,pure_calculation	0.9925	0.0001	0.0	0.9639	0.0001
tensorflow.TensorSpec.from_tensor	file_access,pure_calculation	0.7823	0.0005	0.0009	0.6816	0.0073
tensorflow.TensorSpec.from_tensor	file_access,pure_calculation	0.9545	0.0003	0.0002	0.7274	0.0031
tensorflow.TensorSpec.from_tensor	file_access,pure_calculation	0.995	0.0	0.0	0.8721	0.0006
tensorflow.Variable	file_access	0.9998	0.0	0.0	0.0912	0.0001
tensorflow.Variable	file_access,pure_calculation	0.9652	0.0001	0.0001	0.6853	0.0003
tensorflow.Variable	file_access,pure_calculation	0.8139	0.0001	0.0	0.997	0.0001
tensorflow.Variable	file_access,pure_calculation	0.9995	0.0	0.0	0.9965	0.0
tensorflow.Variable	file_access,pure_calculation	0.9975	0.0001	0.0	0.981	0.0001
tensorflow.__internal__.saved_model.load.registered_identifiers	file_access	0.956	0.0003	0.0014	0.0244	0.006
tensorflow.__internal__.tracking.AutoTrackable	code_execution	0.0	0.0	0.0	0.2254	0.7734
