label_combination,count,pct_of_total
pure_calculation,65997,50.58
network_access + pure_calculation,19255,14.76
code_execution,12763,9.78
file_access,8608,6.6
file_access + pure_calculation,4674,3.58
code_execution + pure_calculation,2920,2.24
process_mgmt + pure_calculation,2671,2.05
process_mgmt,1718,1.32
network_access,1296,0.99
code_execution + file_access + pure_calculation,563,0.43
network_access + process_mgmt + pure_calculation,413,0.32
code_execution + file_access,276,0.21
file_access + network_access + pure_calculation,261,0.2
file_access + network_access,225,0.17
code_execution + process_mgmt,136,0.1
file_access + process_mgmt + pure_calculation,123,0.09
file_access + process_mgmt,107,0.08
code_execution + network_access,106,0.08
code_execution + network_access + process_mgmt,81,0.06
network_access + process_mgmt,69,0.05
code_execution + network_access + pure_calculation,59,0.05
code_execution + process_mgmt + pure_calculation,55,0.04
code_execution + file_access + network_access + pure_calculation,11,0.01
code_execution + network_access + process_mgmt + pure_calculation,9,0.01
code_execution + file_access + network_access,8,0.01
code_execution + file_access + process_mgmt,3,0.0
file_access + network_access + process_mgmt + pure_calculation,1,0.0
file_access + network_access + process_mgmt,1,0.0
